row_number_excel,reason,client_type,name,national_id,ruc,company_name,email,phone,alias
20,Duplicado en archivo (cédula),PERSONAL,Samuel Vega,2-5889-1001,,,samuel.vega13@empresa.com,+507 368-7209,samuelveg13
29,Duplicado en archivo (cédula),PERSONAL,Andrés Castro,2-2403-1002,,,andrés.castro17@yappy-test.pa,+507 668-6180,andréscas17
60,Duplicado en archivo (cédula),PERSONAL,Samuel Mendoza,3-8787-1003,,,samuel.mendoza37@example.com,+507 844-4185,samuelmen37
40,Duplicado en archivo (RUC),COMMERCIAL,Mercantil del Este - Contacto,,68-1009-2002,Mercantil del Este,ventas17@mercantil.com,+507 640-3088,mercantil17
91,Duplicado en archivo (RUC),COMMERCIAL,Soluciones del Istmo - Contacto,,26-3504-2001,Soluciones del Istmo,ventas35@soluciones.com,+507 530-5022,soluciones35
2,❌ RUC duplicado: nan,PERSONAL,Lucía Reyes,2-5889-1001,nan,nan,lucía.reyes1,+507 854-9317,lucíarey1
3,❌ RUC duplicado: 26-3504-2001,COMMERCIAL,Alimentos del Norte S.A. - Contacto,nan,26-3504-2001,Alimentos del Norte S.A.,ventas1@alimentos.com,+507 582-3646,alimentos1
4,❌ RUC duplicado: 68-1009-2002,COMMERCIAL,Energía & Más S.A. - Contacto,nan,68-1009-2002,Energía & Más S.A.,ventas2,+507 813-6310,energía2
5,❌ RUC duplicado: 3-2832-2003,COMMERCIAL,Soluciones del Istmo - Contacto,nan,3-2832-2003,Soluciones del Istmo,ventas3@soluciones.com,+507 571-6038,soluciones3
6,❌ RUC duplicado: nan,PERSONAL,Andrés Rodríguez,2-2403-1002,nan,nan,andrés.rodríguez2@empresa.com,+507 949-8962,andrésrod2
7,❌ RUC duplicado: nan,PERSONAL,María Navarro,3-8787-1003,nan,nan,maría.navarro3@empresa.com,+507 762-3705,nan
8,❌ RUC duplicado: 68-7932-2004,COMMERCIAL,InnovaLogistics S.A. - Contacto,nan,68-7932-2004,InnovaLogistics S.A.,ventas4@innovalogistics.com,+507 416-9835,innovalogistics4
9,❌ RUC duplicado: nan,PERSONAL,Paola Fernández,6-8177-1004,nan,nan,paola.fernández4@yappy-test.pa,+507 729-8397,paolafer4
10,❌ RUC duplicado: nan,PERSONAL,Carlos Sánchez,2-6539-1005,nan,nan,carlos.sánchez5@empresa.com,+507 221-4770,carlossán5
11,❌ RUC duplicado: nan,PERSONAL,Diana Sánchez,2-1964-1006,nan,nan,diana.sánchez6@example.com,+507 434-2104,dianasán6
12,❌ RUC duplicado: nan,PERSONAL,Luis Vásquez,4-5562-1007,nan,nan,luis.vásquez7@example.com,+507 885-8953,luisvás7
13,❌ RUC duplicado: nan,PERSONAL,Paola Navarro,8-4981-1008,nan,nan,paola.navarro8@empresa.com,+507 684-7669,paolanav8
14,❌ RUC duplicado: nan,PERSONAL,Paola García,7-6804-1009,nan,nan,paola.garcía9@example.com,+507 633-7735,paolagar9
15,❌ RUC duplicado: 94-1887-2005,COMMERCIAL,Soluciones del Istmo - Contacto,nan,94-1887-2005,Soluciones del Istmo,ventas5@soluciones.com,+507 889-2612,soluciones5
16,❌ RUC duplicado: nan,PERSONAL,Luis Morales,2-5073-1010,nan,nan,luis.morales10@negocio.com,+507 396-4116,luismor10
17,❌ RUC duplicado: nan,PERSONAL,Javier Torres,7-4006-1011,nan,nan,javier.torres11@empresa.com,+507 485-8579,javiertor11
